noteID,note_es,Original
1,"Las operaciones que se indican mediante los descriptores de operadores 2 01, 2 02, 2 03, 2 04, 2 07 y 2 08 mantendrán su definición hasta que sean canceladas o hasta el final de la subserie de datos.",Original
2,"Si se utiliza el cambio de escala, podría ser necesario para el emisor del mensaje proporcionar un valor de referencia y anchura de datos apropiadamente proporcionados.",Original
3,La cancelación del valor redefinido se efectuará por la inclusión del operando correspondiente con Y puesto a 0. El valor se remitirá al valor original de la Tabla B.,Original
4,"El encajamiento de descriptores de operadores garantizará la interpretación inequívoca de los datos; en especial, se cancelarán o completarán los operadores especificados en una serie de descriptores de repetición, y el operador 2 07 podrá no ser encajado dentro de alguno de los operadores 2 01, 2 02 y 2 03, ni viceversa.",Original
5,El encajamiento del descriptor del operador 2 04 se define de tal forma que: (a) cada nueva definición se añade al campo asociado actualmente definido. El orden de la información asociada incluida corresponderá al orden en el cual han sido definidos los campos asociados; (b) cada cancelación (2 04 000) anula únicamente la adición definida más recientemente al campo asociado.,Original
6,Cuando deba utilizarse el descriptor 2 04 YYY deberá preceder al primero de los descriptores de datos a los cuales se aplica.,Original
7,"El operador de descripción de datos 2 04 YYY, distinto del 2 04 000, irá seguido inmediatamente del descriptor 0 31 021 para indicar el significado del campo asociado.",Original
8,En el tren de datos los 6 bits descritos por el descriptor 0 31 021 deberán preceder a los bits YYY.,Original
9,"Cuando se establece un nuevo campo asociado y se le da un significado, éste puede modificarse aplicando de nuevo el descriptor 0 31 021. No es necesario anular el campo asociado para modificar el significado. Además, si se anula un campo asociado y vuelve a establecerse, ha de dársele un significado aplicando correctamente el descriptor 0 31 021, según se describe en las notas 5 a 8; esto quiere decir que la asignación anterior del significado deja de ser válida cuando se anula el campo asociado.",Original
10,Los operadores de descripción de datos no deberán aplicarse a las entradas de la Clase 31 de la Tabla B.,Original
11,La operación 2 05 permite la utilización de lenguaje sencillo.,Original
12,"El operador 2 06 YYY permite incluir descriptores locales en un mensaje, con datos asociados, que pueden ser contorneados por un destinatario del mensaje. Solo puede aplicarse a los descriptores de elementos (F = 0).",Original
13,"Si se indican los valores “sustituidos/retenidos” esto supondrá que el elemento de datos en la parte original del mensaje se ha sustituido por un valor (presumiblemente) mejor; el valor original se ha retenido en el mensaje que sigue al operador sustituido/retenido. Si hay que incluir varias sustituciones para el mismo elemento de datos, se ordenarán de manera que la fecha original sea la última, precedida de la primera sustitución, ésta de la anterior, etc. Cada (serie de) valores de datos sustituidos/ retenidos se indicará mediante la inclusión del operador 2 32 000.",Original
14,"Si se indican valores “sustituidos” esto supondrá que el elemento de datos en la parte original del mensaje se considera de calidad deficiente, pese a lo cual se ha dejado en el mensaje original recibido; en el mensaje que sigue al operador valores sustituidos se ha colocado un valor mejorado. Si hay que incluir varias sustituciones para el mismo elemento de datos, se ordenarán de manera que la primera sustitución sea la primera, seguida de la segunda sustitución, luego la otra, etc. Por tanto, el “mejor” valor (presumido) se encontrará al final de la colección de valores sustituidos. Cada (serie de) valores de datos sustituidos se indicará mediante la inclusión del operador 2 23 000.",Original
15,"El operador 2 21 YYY permite la reconstrucción de un mensaje BUFR que contenga solamente información de coordenadas (Clases 01–09), de repetición diferida (Clase 31) y de control de calidad. El mensaje puede vincularse hacia atrás con el mensaje original que contenga datos, comparando la información de coordenadas en ambos mensajes o, en un contexto local, mediante información sobre “base de datos”, en la Sección 2.",Original
16,"Las estadísticas de primer orden tienen valores con una gama y dimensiones similares a los valores comunicados correspondientes (por ejemplo, máximos, mínimos, promedios, etc.).",Original
17,"Las estadísticas de diferencia son valores de diferencia; sus dimensiones iguales a las de los valores correspondientes comunicados con respecto a unidades, pero con una gama centrada en cero (por ejemplo, diferencia entre valores comunicados y analizados, diferencia entre valores comunicados y previstos, etc.).",Original
18,Ningún descriptor de operadores se reserva para uso local.,Original
19,"Un suceso, como se define para su uso con los operadores 2 41 000 y 2 42 000, es una serie de una o más circunstancias descrita usando descriptores de la Tabla B adecuados junto con sus correspondientes valores de datos. El agrupamiento de tales descriptores en conjunto considerados como un solo “suceso” les permite ser asignados colectivamente como el objetivo de un descriptor separado como el 0 33 045 o el 0 33 046. Cuando define una circunstancia dentro de un suceso, el descriptor 0 33 042 puede emplearse precediendo al descriptor adecuado de la Tabla B para indicar que el valor correspondiente es en realidad el límite de una gama de valores.",Original
20,"Un valor de predicción categórica representa una “mejor conjetura” de entre una serie de valores de datos o categorías relacionados, y a menudo mutuamente excluyentes. El operador 2 43 000 puede utilizarse para indicar que uno o más valores son valores de predicción categórica, y el descriptor 0 33 042 puede emplearse precediendo cualquiera de tales valores para indicar que ese valor es en realidad un límite de una gama de valores.",Original