acronym,meaning,translation_source
ADCP,Profileur acoustique de courant Doppler,PDF
AOT,épaisseur optique des aérosols,PDF
APSP,paramètre de la taille de l'aérosol,PDF
ASCAT,Diffusiomètre perfectionné,PDF
BGAN,Réseau mondial à large bande,PDF
BIPM,Bureau International de Poids et Mesures,PDF
DORIS,Détermination Doppler d'orbite et radio-localisation intégrées par satellite,PDF
DSR,enregistrement des jeux de données,PDF
GAN,Réseau mondial,PDF
GHRSST,Projet pilote concernant l'échange de données haute résolution sur la température de la mer en surface dans le cadre de l'Expérience GODAE (Expérience mondiale d'assimilation des données océaniques),PDF
GNSS,Système mondial de navigation par satellite,PDF
GRUAN,Réseau aérologique de référence du SMOC,PDF
GTSPP,Programme sur les profils de la température et de la salinité à l'échelle du globe,PDF
IERS,Service international de la rotation terrestre et des systèmes de référence,PDF
IFOV,champ de vision instantanée,PDF
JMR,Radiomètre hyperfréquence JASON-1,PDF
LRM,Mode basse résolution,PDF
MMCC,Centre de gestion et de commande de la mission,PDF
MWI,Radiomètre hyperfréquence,PDF
MWR,Radiomètre hyperfréquence,PDF
OBC,Système d'étalonnage embarqué,PDF
OLCI,Imageur de la couleur de l'océan et des terres immergées,PDF
PRF,fréquence de répétition des impulsions,PDF
PTR,réponse impulsionnelle de cible,PDF
RF,radiofréquence,PDF
RFSS,sous-système radiofréquence,PDF
SAR,Radar à ouverture synthétique,PDF
PRV,plastique renforcé à la fibre de verre,PDF
OEM,Optimal Estimation Methods (Méthodes d'estimation optimale),PDF